coupon_id,valid_date,discount,email
7001,2023-06-25,23.78,qmacmaster2s@themeforest.net
7002,2022-09-15,55.81,istennes16@livejournal.com
7003,2021-10-14,29.2,mfarquhar3s@ehow.com
7004,2023-04-22,48.08,sgood4i@t-online.de
7005,2025-06-24,78.14,ihawke1f@altervista.org
7006,2022-03-01,26.89,dcheson3p@instagram.com
7007,2023-02-13,64.17,tducarme23@lycos.com
7008,2025-03-31,18.32,cfautley1k@msu.edu
7009,2023-08-01,90.7,ncoyneo@eventbrite.com
7010,2022-03-06,41.09,cmartygin39@youtube.com
7011,2022-08-18,10.76,htremmil4q@odnoklassniki.ru
7012,2023-12-23,96.93,totierney14@stumbleupon.com
7013,2025-04-21,62.96,lcecchiv@macromedia.com
7014,2022-12-02,22.68,ckenneway4@mapy.cz
7015,2023-09-14,98.03,tpritchard3w@ebay.co.uk
7016,2021-05-29,69.08,tpavett1s@narod.ru
7017,2024-02-18,14.43,dhair58@chronoengine.com
7018,2023-11-30,51.8,lhincham4d@deviantart.com
7019,2025-06-16,92.73,dtrippitt3t@phpbb.com
7020,2021-08-11,36.42,ehucker3v@meetup.com
7021,2023-08-03,11.73,vcowope5b@sbwire.com
7022,2021-12-23,17.08,hfetterplace2v@phoca.cz
7023,2022-08-20,95.04,klopes2i@soup.io
7024,2024-01-28,60.48,acramphorn12@parallels.com
7025,2025-01-03,56.44,dtrippitt3t@phpbb.com
7026,2022-02-25,67.75,crevington1w@google.com.hk
7027,2022-04-30,42.49,myitzhakof1u@timesonline.co.uk
7028,2024-11-20,61.24,adreamer26@eventbrite.com
7029,2021-08-14,29.22,ebrownlea1y@businessweek.com
7030,2021-05-03,12.47,twilgar3u@desdev.cn
7031,2021-01-01,70.47,totierney14@stumbleupon.com
7032,2023-08-06,58.9,dcheson3p@instagram.com
7033,2022-09-08,79.36,klekeux57@issuu.com
7034,2024-07-20,53.4,jedmansx@mtv.com
7035,2021-06-02,26.55,lmolan4e@dyndns.org
7036,2025-06-11,71.17,cveneur2d@intel.com
7037,2025-02-18,34.12,tpritchard3w@ebay.co.uk
7038,2022-10-30,38.6,kstroyan2l@elegantthemes.com
7039,2024-09-13,49.96,akorf4y@constantcontact.com
7040,2022-03-29,69.44,beacle4s@trellian.com
7041,2025-09-22,47.54,oleneham56@amazon.co.uk
7042,2024-01-10,98.52,dmynett1e@umn.edu
7043,2021-12-12,68.83,gdorsayn@github.com
7044,2025-04-14,85.27,abarrym@huffingtonpost.com
7045,2022-05-09,38.93,cconyer31@thetimes.co.uk
7046,2024-01-12,26.57,dmynett1e@umn.edu
7047,2022-12-20,45.82,asturges55@studiopress.com
7048,2025-02-06,90.04,cedmonston4t@sphinn.com
7049,2021-08-25,67.52,nhalpen1l@phoca.cz
7050,2022-09-28,74.61,renderle5c@ucla.edu
7051,2021-04-27,7.93,ihackin30@comcast.net
7052,2023-01-29,76.8,jbrandino3@hud.gov
7053,2023-06-13,34.16,vroocrofte@sakura.ne.jp
7054,2024-02-01,11.68,aseargeant2b@psu.edu
7055,2022-12-23,33.8,qmacmaster2s@themeforest.net
7056,2023-08-13,25.64,mthompsett1j@nymag.com
7057,2025-11-26,85.07,lmcnabb1@globo.com
7058,2024-08-03,44.05,twilgar3u@desdev.cn
7059,2021-01-31,21.79,klekeux57@issuu.com
7060,2024-10-21,25.25,bdobkin2a@loc.gov
7061,2023-10-13,67.16,lokennedy2z@sfgate.com
7062,2022-08-20,76.08,smaisey1c@macromedia.com
7063,2022-11-23,52.81,sgood4i@t-online.de
7064,2022-10-17,53.22,dfosten2o@homestead.com
7065,2021-02-07,72.04,rbougourd3q@tmall.com
7066,2021-05-23,30.03,fdayment1g@booking.com
7067,2021-07-13,89.23,asturges55@studiopress.com
7068,2022-11-14,90.87,jbamlet2x@smh.com.au
7069,2025-04-10,11.28,kspada4j@latimes.com
7070,2023-04-18,37.57,hhanner4n@dagondesign.com
7071,2022-01-27,75.32,dfigure5e@list-manage.com
7072,2025-06-25,45.61,vroocrofte@sakura.ne.jp
7073,2022-02-07,12.92,tstennett54@networkadvertising.org
7074,2025-07-24,74.19,wscully5j@un.org
7075,2025-06-18,39.22,cveneur2d@intel.com
7076,2022-12-22,79.77,hdoughillw@ed.gov
7077,2022-05-12,28.95,dfosten2o@homestead.com
7078,2024-04-24,88.52,gspires4g@timesonline.co.uk
7079,2021-12-05,36.12,kphetheanu@china.com.cn
7080,2022-04-06,21.09,lfelce50@uiuc.edu
7081,2022-09-09,68.48,hstraneo3h@over-blog.com
7082,2023-07-01,21.94,dolyunin9@webeden.co.uk
7083,2023-02-16,52.9,ybelderfield48@hao123.com
7084,2023-01-12,54.61,bcushionc@msn.com
7085,2025-01-10,59.62,gdayer4m@arstechnica.com
7086,2022-02-21,87.94,mmewburnh@sogou.com
7087,2024-09-16,55.73,wbooi2j@com.com
7088,2022-10-10,68.08,rschrader3e@ihg.com
7089,2022-01-28,58.23,aburnsall52@walmart.com
7090,2024-01-28,87.12,rmorhalli@merriam-webster.com
7091,2024-04-01,37.46,cgoldstraw46@dailymotion.com
7092,2021-08-11,45.06,kcristofari44@lycos.com
7093,2024-03-25,9.06,hfernyhough3n@google.es
7094,2024-03-11,8.31,wbooi2j@com.com
7095,2021-12-22,21.05,smaisey1c@macromedia.com
7096,2021-06-07,28.9,gbarrows17@aboutads.info
7097,2021-10-11,73.92,eaubreyr@miitbeian.gov.cn
7098,2021-11-14,19.17,tducarme23@lycos.com
7099,2025-10-04,69.74,ttease11@mysql.com
7100,2024-10-25,64.01,gdayer4m@arstechnica.com
7101,2021-10-01,44.69,nfairy3a@ycombinator.com
7102,2023-11-03,66.4,cmcamish34@phpbb.com
7103,2021-06-20,96.97,pmoxomz@sfgate.com
7104,2024-08-12,94.13,kohenery4h@admin.ch
7105,2023-11-29,9.92,cmacgiollapheadaira@youku.com
7106,2024-03-06,93.24,dshevlaneq@ning.com
7107,2023-05-04,87.84,ckenneway4@mapy.cz
7108,2023-08-13,64.95,bsimko13@cdc.gov
7109,2025-09-12,80.36,gworsell2g@umich.edu
7110,2023-06-21,67.59,hstraneo3h@over-blog.com
7111,2021-07-26,80.22,hcholmondeley1x@virginia.edu
7112,2022-09-18,25.39,mquinnell2f@state.tx.us
7113,2023-01-13,28.86,cvero4p@paginegialle.it
7114,2024-04-09,65.37,cfautley1k@msu.edu
7115,2025-04-15,45.07,cvero4p@paginegialle.it
7116,2024-08-12,71.18,bamyesf@etsy.com
7117,2022-02-24,12.57,renderle5c@ucla.edu
7118,2022-07-07,97.26,sgood4i@t-online.de
7119,2025-05-14,99.06,asturges55@studiopress.com
7120,2021-01-14,18.17,qmacmaster2s@themeforest.net
7121,2021-01-04,75.09,fmansell5d@bloglovin.com
7122,2024-06-19,5.65,tstennett54@networkadvertising.org
7123,2024-05-09,67.35,dtrippitt3t@phpbb.com
7124,2025-03-10,6.82,whardwicke4x@about.com
7125,2021-03-14,98.44,hlandy1t@uiuc.edu
7126,2021-05-21,55.88,mackerman47@indiatimes.com
7127,2023-08-11,47.81,kjantety@shop-pro.jp
7128,2022-03-24,97.85,kjantety@shop-pro.jp
7129,2021-10-25,98.53,kreade53@apple.com
7130,2021-08-16,37.99,osaenz8@nytimes.com
7131,2023-05-01,47.96,bsimmgen4a@privacy.gov.au
7132,2021-01-17,42.92,gdayer4m@arstechnica.com
7133,2025-04-24,43.1,kphetheanu@china.com.cn
7134,2022-09-22,7.39,wbooi2j@com.com
7135,2024-03-02,70.52,mmewburnh@sogou.com
7136,2022-11-16,68.14,gbarrows17@aboutads.info
7137,2025-10-11,38.42,wbooi2j@com.com
7138,2025-08-28,36.58,adreamer26@eventbrite.com
7139,2021-10-06,37.01,greedman18@google.com.au
7140,2022-01-06,11.18,akorf4y@constantcontact.com
7141,2024-12-31,96.53,jlegerton3m@washington.edu
7142,2024-11-29,83.43,dnealand5g@merriam-webster.com
7143,2022-03-17,28.36,iolivazzi3f@delicious.com
7144,2024-07-19,54.15,bknotton22@list-manage.com
7145,2021-09-27,57.16,ttrippack35@census.gov
7146,2023-07-01,38.09,gspires4g@timesonline.co.uk
7147,2023-02-22,29.79,cvitet2k@pinterest.com
7148,2021-01-29,37.75,nbhar21@timesonline.co.uk
7149,2024-03-13,22.12,vallanson20@webmd.com
7150,2024-08-31,7.38,pmoxomz@sfgate.com
7151,2023-06-06,12.0,bhillock49@amazon.co.uk
7152,2025-12-26,39.06,talbarez36@indiatimes.com
7153,2024-07-01,49.67,ihackin30@comcast.net
7154,2025-05-27,70.37,bknotton22@list-manage.com
7155,2023-06-19,32.52,totierney14@stumbleupon.com
7156,2022-11-20,18.02,akorf4y@constantcontact.com
7157,2023-10-05,46.35,gkeese1i@unesco.org
7158,2024-07-12,21.58,hausten0@newsvine.com
7159,2025-10-21,22.39,rabbess2e@ning.com
7160,2021-09-06,30.77,mskells1n@ifeng.com
7161,2025-09-30,84.95,istennes16@livejournal.com
7162,2022-08-28,24.21,bsimmgen4a@privacy.gov.au
7163,2022-12-04,76.56,whardwicke4x@about.com
7164,2022-01-19,74.86,dtrood29@businessinsider.com
7165,2024-03-09,53.96,cmartygin39@youtube.com
7166,2023-03-01,95.91,irapaportk@yale.edu
7167,2024-01-15,64.22,dshevlaneq@ning.com
7168,2021-09-07,34.61,ehucker3v@meetup.com
7169,2025-04-13,26.62,dtrood29@businessinsider.com
7170,2021-08-03,59.44,smaisey1c@macromedia.com
7171,2025-12-14,69.49,kjantety@shop-pro.jp
7172,2025-07-04,92.48,lokennedy2z@sfgate.com
7173,2025-07-30,21.45,beacle4s@trellian.com
7174,2022-10-07,94.06,fscholey1z@dedecms.com
7175,2025-06-20,58.93,cbilham10@blog.com
7176,2025-02-17,25.86,mrenzo3i@nature.com
7177,2022-03-09,39.07,kjantety@shop-pro.jp
7178,2023-08-13,29.07,dtowse6@hexun.com
7179,2024-03-02,37.51,mgherardini19@rakuten.co.jp
7180,2022-06-13,17.25,kspada4j@latimes.com
7181,2022-02-22,47.01,istennes16@livejournal.com
7182,2023-09-08,90.58,gseid4z@webs.com
7183,2023-10-07,26.13,totierney14@stumbleupon.com
7184,2025-01-06,38.6,jbracchi45@skype.com
7185,2025-12-09,19.91,bosharkey1q@miitbeian.gov.cn
7186,2024-11-18,17.35,abarszczewski4c@google.de
7187,2022-09-20,96.5,hfernyhough3n@google.es
7188,2021-06-15,72.94,bhillock49@amazon.co.uk
7189,2021-02-03,44.42,bcushionc@msn.com
7190,2022-07-17,58.21,osaenz8@nytimes.com
7191,2021-05-20,13.19,bdobkin2a@loc.gov
7192,2022-11-25,38.34,eaubreyr@miitbeian.gov.cn
7193,2022-01-30,69.11,lraschd@myspace.com
7194,2022-10-31,46.6,tducarme23@lycos.com
7195,2021-01-30,68.46,mfarquhar3s@ehow.com
7196,2024-08-12,82.08,gspires4g@timesonline.co.uk
7197,2022-05-20,50.42,lcecchiv@macromedia.com
7198,2022-08-06,81.29,abird27@tmall.com
7199,2021-05-05,23.96,asturges55@studiopress.com
7200,2021-01-01,46.68,totierney14@stumbleupon.com
7201,2025-04-09,83.69,dfosten2o@homestead.com
7202,2022-07-25,56.03,jbracchi45@skype.com
7203,2024-05-28,27.1,klopes2i@soup.io
7204,2025-05-27,15.36,cmartygin39@youtube.com
7205,2024-04-19,86.71,psavory2y@paginegialle.it
7206,2023-02-21,70.75,mthompsett1j@nymag.com
7207,2025-03-22,86.14,gdayer4m@arstechnica.com
7208,2022-06-03,56.58,glaweyl@jugem.jp
7209,2024-11-20,25.77,hfernyhough3n@google.es
7210,2023-05-09,71.19,tneve1h@ca.gov
7211,2022-10-09,85.35,hfetterplace2v@phoca.cz
7212,2024-01-15,25.68,chutchison40@digg.com
7213,2022-05-27,67.38,lesplin5f@google.co.jp
7214,2025-03-28,35.18,hfernyhough3n@google.es
7215,2023-01-13,68.12,ybelderfield48@hao123.com
7216,2021-01-08,72.11,cedmonston4t@sphinn.com
7217,2021-11-27,16.09,mmurrish2m@squidoo.com
7218,2025-05-31,13.96,aseargeant2b@psu.edu
7219,2021-01-03,76.85,sgood4i@t-online.de
7220,2021-03-04,85.16,cpoleykett2w@usatoday.com
7221,2021-03-08,49.2,lcecchiv@macromedia.com
7222,2021-08-04,34.62,cgoldstraw46@dailymotion.com
7223,2022-10-20,34.17,hfernyhough3n@google.es
7224,2021-01-23,66.46,aseargeant2b@psu.edu
7225,2023-04-10,81.75,kjantety@shop-pro.jp
7226,2021-06-21,91.5,dfigure5e@list-manage.com
7227,2024-05-25,88.95,oleneham56@amazon.co.uk
7228,2023-10-04,69.52,ddemitris2h@illinois.edu
7229,2025-04-04,85.59,gdayer4m@arstechnica.com
7230,2022-02-07,8.96,hdoughillw@ed.gov
7231,2024-01-17,97.08,dsmalls4u@smh.com.au
7232,2024-04-27,40.83,mgherardini19@rakuten.co.jp
7233,2022-08-11,5.38,bknotton22@list-manage.com
7234,2025-08-28,31.11,vroocrofte@sakura.ne.jp
7235,2023-04-03,11.84,abarrym@huffingtonpost.com
7236,2024-02-12,81.61,glaweyl@jugem.jp
7237,2021-07-20,89.26,nhalpen1l@phoca.cz
7238,2023-09-01,26.64,bamyesf@etsy.com
7239,2021-04-24,86.89,rabbess2e@ning.com
7240,2024-06-01,52.05,gspires4g@timesonline.co.uk
7241,2023-06-22,96.93,totierney14@stumbleupon.com
7242,2023-05-08,86.14,nbhar21@timesonline.co.uk
7243,2022-10-29,66.46,rschrader3e@ihg.com
7244,2022-08-14,45.85,fmansell5d@bloglovin.com
7245,2023-01-16,33.45,hyokelman1a@hubpages.com
7246,2021-05-03,87.84,ncoyneo@eventbrite.com
7247,2023-08-30,76.66,mthompsett1j@nymag.com
7248,2023-03-15,51.76,myitzhakof1u@timesonline.co.uk
7249,2025-02-23,56.19,totierney14@stumbleupon.com
7250,2021-02-14,77.53,kcristofari44@lycos.com
7251,2022-05-15,98.0,rbougourd3q@tmall.com
7252,2022-10-07,5.32,jramage3j@ustream.tv
7253,2023-06-06,60.91,hstraneo3h@over-blog.com
7254,2024-01-20,17.87,sgateley2@aboutads.info
7255,2022-01-18,48.42,rbougourd3q@tmall.com
7256,2025-01-31,56.67,bknotton22@list-manage.com
7257,2023-03-13,40.2,ttrippack35@census.gov
7258,2021-03-05,26.57,jcrannis24@wsj.com
7259,2021-05-07,96.19,gspires4g@timesonline.co.uk
7260,2021-01-11,98.5,bmyton3g@house.gov
7261,2023-12-24,79.69,mthompsett1j@nymag.com
7262,2021-09-11,42.86,vroocrofte@sakura.ne.jp
7263,2025-03-30,48.53,cconyer31@thetimes.co.uk
7264,2025-10-09,46.32,lmcnabb1@globo.com
7265,2024-06-20,79.42,bmyton3g@house.gov
7266,2025-04-23,15.39,jbrandino3@hud.gov
7267,2025-05-06,15.01,lmolan4e@dyndns.org
7268,2024-06-02,61.28,vroocrofte@sakura.ne.jp
7269,2025-02-22,21.67,kbeecraft4b@flavors.me
7270,2022-11-11,72.27,kdowd32@goodreads.com
7271,2025-10-06,65.74,adugdale4f@vkontakte.ru
7272,2025-09-26,27.57,dkirkpatrickp@nationalgeographic.com
7273,2023-02-15,95.83,nbhar21@timesonline.co.uk
7274,2024-09-02,23.21,cedmonston4t@sphinn.com
7275,2021-03-09,63.14,renderle5c@ucla.edu
7276,2024-09-04,64.76,bbargery5@alibaba.com
7277,2024-11-10,14.89,kstroyan2l@elegantthemes.com
7278,2024-08-03,21.73,dfigure5e@list-manage.com
7279,2021-12-14,27.33,ppasquale3l@pcworld.com
7280,2025-09-06,81.27,dtrippitt3t@phpbb.com
7281,2024-07-04,50.59,oleneham56@amazon.co.uk
7282,2024-01-03,62.67,ltompkin3z@seattletimes.com
7283,2025-09-23,80.01,gdorsayn@github.com
7284,2025-11-06,97.61,jlegerton3m@washington.edu
7285,2024-10-01,51.86,acramphorn12@parallels.com
7286,2024-12-02,10.55,kbeecraft4b@flavors.me
7287,2021-04-27,31.86,ncoyneo@eventbrite.com
7288,2023-02-21,32.07,ttease11@mysql.com
7289,2022-07-09,26.49,lclutterham59@google.ca
7290,2022-08-24,13.59,aseargeant2b@psu.edu
7291,2023-07-16,5.25,jferriman2q@tumblr.com
7292,2023-08-29,66.54,renderle5c@ucla.edu
7293,2021-11-29,74.04,mackerman47@indiatimes.com
7294,2025-05-15,82.6,nhalpen1l@phoca.cz
7295,2023-07-24,6.93,adugdale4f@vkontakte.ru
7296,2023-09-12,94.39,oleneham56@amazon.co.uk
7297,2021-02-05,98.34,kphetheanu@china.com.cn
7298,2025-05-07,58.6,agilvear33@hp.com
7299,2023-09-09,33.97,dshevlaneq@ning.com
7300,2022-08-07,71.12,ppasquale3l@pcworld.com
7301,2025-07-05,55.79,ahodgin51@jigsy.com
7302,2022-11-23,50.11,hlandy1t@uiuc.edu
7303,2023-04-05,78.88,nodunniom3r@cloudflare.com
7304,2022-04-21,44.19,mcurd2p@sciencedirect.com
7305,2022-10-04,33.96,mthompsett1j@nymag.com
7306,2024-11-01,98.67,dnealand5g@merriam-webster.com
7307,2025-02-03,96.66,abird27@tmall.com
7308,2025-02-20,78.19,abarrym@huffingtonpost.com
7309,2022-02-13,73.17,adreamer26@eventbrite.com
7310,2024-03-10,12.11,glaweyl@jugem.jp
7311,2022-11-04,37.29,nhalpen1l@phoca.cz
7312,2024-04-17,49.78,bdobkin2a@loc.gov
7313,2021-04-11,89.87,ebrownlea1y@businessweek.com
7314,2021-02-16,95.54,totierney14@stumbleupon.com
7315,2021-12-28,60.66,osaenz8@nytimes.com
7316,2025-04-16,67.98,gseid4z@webs.com
7317,2023-03-16,77.01,jcrannis24@wsj.com
7318,2024-11-13,49.19,kcristofari44@lycos.com
7319,2021-03-01,86.43,jbrandino3@hud.gov
7320,2024-10-02,45.71,ahodgin51@jigsy.com
7321,2021-10-09,19.17,tcurreenj@studiopress.com
7322,2024-01-05,51.2,gdorsayn@github.com
7323,2021-06-19,35.63,oleneham56@amazon.co.uk
7324,2022-08-03,58.31,psavory2y@paginegialle.it
7325,2025-10-22,79.59,bdobkin2a@loc.gov
7326,2023-06-20,56.59,bsimko13@cdc.gov
7327,2023-11-30,97.81,whardwicke4x@about.com
7328,2021-05-02,23.05,gworsell2g@umich.edu
7329,2023-01-30,92.42,tstennett54@networkadvertising.org
7330,2022-06-25,60.16,ihawke1f@altervista.org
7331,2022-06-01,40.62,ggercken1m@tmall.com
7332,2025-12-19,82.49,cjacquet2r@addthis.com
7333,2025-06-27,48.08,klekeux57@issuu.com
7334,2025-07-19,8.42,kphetheanu@china.com.cn
7335,2024-02-02,72.09,kcristofari44@lycos.com
7336,2024-08-20,95.44,bpass3y@bizjournals.com
7337,2025-11-30,52.74,irapaportk@yale.edu
7338,2024-01-12,42.64,kphetheanu@china.com.cn
7339,2024-11-23,34.15,cmartygin39@youtube.com
7340,2022-08-01,8.35,nodunniom3r@cloudflare.com
7341,2023-01-10,21.76,kcristofari44@lycos.com
7342,2023-08-11,87.23,kjantety@shop-pro.jp
7343,2025-10-10,9.95,gdayer4m@arstechnica.com
7344,2023-12-07,50.68,hstraneo3h@over-blog.com
7345,2022-10-30,89.81,beacle4s@trellian.com
7346,2022-05-10,19.8,gbarrows17@aboutads.info
7347,2022-04-04,47.35,pwilshere28@devhub.com
